# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Medhavi Skills University Sikkim
# Property: Medhavi Skills University website
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260923
Page path and screen class,Views,Bounce rate,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/blog/why-ai-&-machine-learning-are-the-future-of-technology,47,0.07142857142857142,14,3.357142857142857,13.142857142857142,83,0,0
/blog/campus/school-of-humanities,46,0.06060606060606061,31,1.4838709677419355,58.225806451612904,72,0,0
/blog/dialysis-technician-basic-skills-ranging-from-patient-care-to-machine-handling,46,0.15789473684210525,16,2.875,7.8125,87,0,0
/blog/how-practical-training-enhances-employability-for-bsc-nursing-students,46,0,12,3.8333333333333335,49.5,75,0,0
/blog/give-your-career-a-creative-edge-with-ui-ux,45,0.10526315789473684,14,3.2142857142857144,33.57142857142857,78,0,0
/blog/the-top-bba-programs-of-2023-a-comprehensive-guide,45,0.06666666666666667,7,6.428571428571429,142.42857142857142,63,0,0
/blog/work-integrated-frontline-workforce-upskilling,44,0.058823529411764705,12,3.6666666666666665,14.333333333333334,70,0,0
/blog/skill-based-learning-operation-theatre-technology-advanced-labs,42,0,13,3.230769230769231,56.84615384615385,58,0,0
/blog/a-becoming-a-meme-on-the-internet,41,0,1,41,200,51,0,0
/blog/bsc-in-hotel-management-at-msu-students-gain-5-star-training-from-day-1,41,0.0625,12,3.4166666666666665,20.75,72,0,0
/blog/pathology-lab-assistant-university-in-sikkim,41,0.05555555555555555,9,4.555555555555555,231.44444444444446,70,0,0
/blog/unlock-the-secrets-of-the-travel-industry-hospitality-and-tourism-management-explained-1,40,0.18181818181818182,6,6.666666666666667,26.666666666666668,58,0,0
/blog/what-are-the-benefits-of-skill-university,40,0.14285714285714285,9,4.444444444444445,50.333333333333336,63,0,0
/blog/business-roi-industry-integrated-education-employers,39,0.05555555555555555,14,2.7857142857142856,11.285714285714286,71,0,0
/blog/closing-the-skills-gap-in-rural-india:-medhavi-skills-university’s-wise-solution,39,0,3,13,7.666666666666667,50,0,0
/blog/the-national-credit-framework-ncrf-a-potential-game-changer-for-india’s-education-system,39,0.21428571428571427,14,2.7857142857142856,4.785714285714286,75,0,0
/blog/top-skills-for-bfsi-professionals-in-2025-how-msus-industry-led-programs-can-help-you,39,0.05555555555555555,11,3.5454545454545454,15.090909090909092,72,0,0
/blog/build-your-future-in-hotel-management-with-msu-and-seven-seas-hotel,38,0,10,3.8,80.8,67,0,0
/blog/career-prospects-after-studying-bsc-in-hospitality-and-hotel-management,38,0.0625,11,3.4545454545454546,26.727272727272727,62,0,0
/blog/maximizing-your-bca-with-cloud-computing,38,0.07692307692307693,7,5.428571428571429,26.571428571428573,60,0,0
/blog/experience-and-explore-skill-electives-and-field-trips-at-medhavi-skills-university,37,0,12,3.0833333333333335,24.916666666666668,58,0,0
/blog/how-to-choose-the-right-skill-base-degree-program-checklist-inside,37,0.1111111111111111,11,3.3636363636363638,31.454545454545453,65,0,0
/blog/top-mba-specializations-to-choose-from-in-2024-1,37,0,9,4.111111111111111,9.777777777777779,58,0,0
/blog/bca-vs-bsc-in-cyber-security-choosing-the-right-path,36,0.07142857142857142,13,2.769230769230769,58.23076923076923,65,0,0
/blog/build-career-in-medical-lab-technology:-education-and-certification-requirements,36,0,8,4.5,2.25,59,0,0
/blog/life-at-msu-10-questions-every-new-student-asks,36,0.06666666666666667,9,4,85.22222222222223,63,0,0
/blog/exploring-creativity-a-semester-report-on-msu-students-creative-writing-journey,35,0,12,2.9166666666666665,16.833333333333332,69,0,0
/blog/hematology-technologist-university-in-sikkim,35,0.058823529411764705,9,3.888888888888889,226.88888888888889,60,0,0
/blog/how-to-choose-the-right-course-after-12th-a-practical-decision-guide-1,35,0.15384615384615385,9,3.888888888888889,32.22222222222222,52,0,0
/blog/inside-the-labs-essential-skills-that-make-nursing-graduates-stand-out,35,0.13333333333333333,12,2.9166666666666665,29.666666666666668,50,0,0
/blog/optometry-careers-in-india:-what-you-can-do-with-a-b.sc.-in-optometry,35,0.16666666666666666,9,3.888888888888889,3.2222222222222223,60,0,0
/blog/outstanding-career-options-after-bca-in-2023,35,0,9,3.888888888888889,31.11111111111111,62,0,0
/blog/power-of-storytelling-in-marketing-how-an-mba-in-marketing-can-help-you-stand-out,35,0,7,5,36.714285714285715,62,0,0
/blog/unlock-the-world-of-travel-and-hospitality-study-tourism-management,35,0.15384615384615385,8,4.375,52.25,58,0,0
/blog/culinary-arts-students-on-market-survey-mission-in-singtam-bazar,34,0,13,2.6153846153846154,43.30769230769231,63,0,0
/blog/hands-on-learning-revolutionising-education-at-medhavi-skills-university,34,0,13,2.6153846153846154,5.538461538461538,56,0,0
/blog/shape-your-futuristic-career-with-new-age-interior-design-courses,34,0.07692307692307693,9,3.7777777777777777,25,62,0,0
/blog/the-future-of-business-trends-and-innovations-to-watch-in-2023,34,0,10,3.4,5.5,61,0,0
/blog/the-strategic-solution-for-talent-acquisition-and-retention-msu-wise,34,0,6,5.666666666666667,33.666666666666664,52,0,0
/blog/why-cloud-computing-is-among-the-hottest-career-paths-today,34,0,10,3.4,45,57,0,0
/blog/how-apprenticeship-embedded-degree-programs-can-revolutionize-higher-education,33,0.1875,9,3.6666666666666665,42.111111111111114,52,0,0
/blog/preparing-the-workforce-for-industry-4.0:-the-role-of-msu-wise,33,0,2,16.5,199,45,0,0
/blog/the-role-of-medhavi-skills-university-in-imparting-job-oriented-skills,33,0.07692307692307693,11,3,10.545454545454545,60,0,0
/blog/why-a-b.voc-in-fashion-design-is-your-gateway-to-a-glamorous-and-global-career,33,0,9,3.6666666666666665,1.6666666666666667,50,0,0
/blog/ceo-chro-apprenticeship-degree-skill-gap-india,32,0,10,3.2,21,62,0,0
/blog/how-msus-earn-and-learn-model-transformed-pawans-life-a-real-story-of-turning-dreams-into-reality,32,0.15384615384615385,9,3.5555555555555554,55.22222222222222,58,0,0
/blog/mastering-the-art-of-storytelling-how-an-mba-in-marketing-can-help-you-stand-out-1,32,0,7,4.571428571428571,56.42857142857143,47,0,0
/blog/a-bug-is-becoming-a-meme-on-the-internet-1,31,0.3333333333333333,1,31,41,43,0,0
/blog/why-choose-a-skills-based-university-over-a-traditional-college,31,0.09090909090909091,9,3.4444444444444446,31,51,0,0
/blog/a-taste-of-heritage-cooking-and-connecting-with-ancestral-recipes,30,0.07692307692307693,9,3.3333333333333335,28.333333333333332,52,0,0
/blog/first-in-the-region-nep-2020-at-medhavi-skills-university,30,0.15384615384615385,11,2.727272727272727,10.909090909090908,56,0,0
"/blog/testas-exam-fees,-dates,-and-centers-in-india",30,0,8,3.75,4.875,51,0,0
/blog/why-pursue-a-ba-in-english-exploring-career-avenues-beyond-teaching,30,0,6,5,44.833333333333336,51,0,0
/blog/community-engagement-at-medhavi-skills-university-promoting-skills-and-employability,29,0.15384615384615385,11,2.6363636363636362,11.181818181818182,51,0,0
/blog/testing-hgirhg3,29,0,1,29,143,43,0,0
/blog/the-psychology-of-learning-understanding-how-students-learn-best,29,0,8,3.625,11.125,45,0,0
/blog/skill-based-learning-operation-theatre-technology-advanced-ot-labs,28,0,9,3.111111111111111,15.88888888888889,49,0,0
/wp-content/uploads/2022/06/blog_banner.jpg,28,0,11,2.5454545454545454,2.272727272727273,55,0,0
/blog/build-a-career-in-software-development-education-opportunities-and-salary-insights,27,0.1,8,3.375,32.25,50,0,0
/blog/how-practical-training-enhances-employability-for-b.sc-nursing-students,27,0,10,2.7,1.7,50,0,0
/blog/msu.edu.in,27,0,5,5.4,20.8,37,0,0
/blog/top-reasons-to-choose-professional-accounting-as-a-career,27,0.07692307692307693,7,3.857142857142857,42.714285714285715,53,0,0
/blog/tourism-skills-taught-at-lakes-edge-msu-undergrads-learn-at-sacred-khechuperi-lake,27,0,7,3.857142857142857,17.428571428571427,46,0,0
/blog/unleashing-the-power-of-words-medhavi-skills-universitys-creative-writing-skill-drill-celebrates-world-poetry-day,26,0,8,3.25,6.125,42,0,0
/blog/beyond-the-degree-preparing-change-makers-for-the-world-of-infinite-possibilities,25,0.08333333333333333,8,3.125,15.375,41,0,0
/blog/career-prospects-after-studying-b.voc-in-cosmetology,25,0.14285714285714285,7,3.5714285714285716,2.142857142857143,42,0,0
/blog/how-students-are-learning-english-differently-at-msu,25,0,7,3.5714285714285716,8.714285714285714,40,0,0
/blog/mba-for-executives:-a-look-at-the-trending-specializations-of-2024,25,0.1111111111111111,9,2.7777777777777777,2.7777777777777777,43,0,0
/blog/why-a-b.voc-in-interior-design-is-your-gateway-to-a-high-growth-creative-career,25,0.2,10,2.5,0.7,48,0,0
/blog/bridging-the-skills-gap-in-industry-4.0:-a-collaborative-approach-with-msu-wise,24,0,4,6,12.75,36,0,0
/blog/design-meets-business-inside-msu-s-bba-in-jewellery-design-and-management,24,0.125,3,8,193.66666666666666,32,0,0
/blog/a-day-of-writing-club-at-skill-drill-medhavi-skills-university,23,0,7,3.2857142857142856,23.714285714285715,41,0,0
/blog/career-prospects-after-studying-b.-tech-in-computer-science-engineering,23,0.2222222222222222,9,2.5555555555555554,0.3333333333333333,45,0,0
/blog/exploring-social-problems-and-science-through-practical-learning,23,0,7,3.2857142857142856,13.285714285714286,37,0,0
/blog/top-mba-specializations-to-choose-from-in-2024-2,23,0,5,4.6,38.2,34,0,0
/blog/,22,0,7,3.142857142857143,24,40,0,0
/blog/hospitality-students-serve-up-success-in-inaugural-restaurant-launch,22,0.1,8,2.75,10.875,41,0,0
/blog/mastering-the-art-of-storytelling:-how-an-mba-in-marketing-can-help-you-stand-out,22,0.125,8,2.75,1.25,42,0,0
/blog/the-future-of-higher-education-understanding-the-impact-of-nep,22,0,4,5.5,27.25,33,0,0
