# ----------------------------------------
# Medhavi Skills University website
# Free form-Free form 1
# 20260827-20260923
# ----------------------------------------

Device category,mobile,desktop,tablet,Totals
City,Active users,Active users,Active users,Active users
Haridwar,3,4,0,7
Jigani,2,3,2,7
Jorhat,5,2,0,7
Kampala,3,3,1,7
Karsiyang,5,2,0,7
Latur,4,3,0,7
Machilipatnam,5,2,0,7
Nagercoil,2,5,0,7
Navsari,5,2,0,7
North Charleston,0,7,0,7
Palwal,4,3,0,7
Raichur,7,0,0,7
Rampurhat,7,0,0,7
Satara,5,2,0,7
Springfield,3,4,0,7
Tumakuru,6,1,0,7
Ulhasnagar,6,1,0,7
Uttarpara,5,1,1,7
Vijayapura,7,0,0,7
Warsaw,7,0,0,7
Yamuna Nagar,6,1,0,7
Accra,4,2,0,6
Alipurduar,4,2,0,6
Bagdogra,5,1,0,6
Ballari,5,1,0,6
Chittoor,6,0,0,6
Cuddalore,5,1,0,6
Cuttack,3,3,0,6
Dewas,6,0,0,6
Dinhata,4,2,0,6
Fatehabad,3,3,0,6
Guilford,0,6,0,6
Habra,4,2,0,6
Jabriya,5,1,0,6
Jind,2,4,0,6
Kanhangad,2,4,0,6
Kannur,5,1,0,6
Krishnanagar,6,0,0,6
Mexico City,0,4,2,6
Montreal,1,5,0,6
Nanjing,0,6,0,6
Ongole,5,1,0,6
Panihati,2,4,0,6
Shenyang,1,5,0,6
Silvassa,2,4,0,6
Suri,5,1,0,6
Tashkent,4,2,0,6
Tirurangadi,3,3,0,6
Wuhan,0,6,0,6
Wuxi,2,4,0,6
Xiamen,0,6,0,6
Amsterdam,3,2,0,5
Badlapur,4,1,0,5
Bharuch,2,3,0,5
Brisbane,2,3,0,5
Calangute,5,0,0,5
Chattogram,1,4,0,5
Churachandpur,5,0,0,5
Diamond Harbour,4,1,0,5
Faisalabad,0,5,0,5
Hapur,3,2,0,5
Indapur,5,0,0,5
Jhargram,5,0,0,5
Kalyani,2,3,0,5
Kolaghat,5,0,0,5
Kurnool,5,0,0,5
Kurukshetra,4,1,0,5
Malegaon,4,1,0,5
Mapusa,2,3,0,5
Maraimalai Nagar,2,3,0,5
Puducherry,2,3,0,5
Puri,5,0,0,5
Rudrapur,3,2,0,5
Saharsa,3,1,1,5
Solan,2,3,0,5
Thalassery,4,1,0,5
Tirunelveli,3,2,0,5
Toronto,4,1,0,5
Vidisha,4,1,0,5
Xi'An,0,5,0,5
Zhuhai,0,5,0,5
Abu Road,3,1,0,4
Al Hofuf,1,3,0,3
Ambikapur,3,1,0,4
Avadi,4,0,0,4
Bangaon,3,1,0,4
Baramati,4,0,0,4
Barmer,3,1,0,4
Bawal,2,2,0,4
Beed,4,0,0,4
Birmingham,2,2,0,4
Bogota,2,2,0,4
Bongaigaon,3,1,0,4
Buldhana,4,0,0,4
Casablanca,1,3,0,4
Chanchal,2,2,0,4
Chandannagar,3,1,0,4
Chapra,2,2,0,4
Da Nang,0,4,0,4
Dalian,0,4,0,4
Faizabad,4,0,0,4
Falkenstein,0,4,0,4
Giridih,2,2,0,4
Hamirpur,1,3,0,4
Harare,3,1,0,4
Hazaribagh,4,0,0,4
Hefei,0,4,0,4
Ichalkaranji,4,0,0,4
Islamabad,1,3,0,4
Jalna,3,1,0,4
Jhajjar,4,0,0,4
Jhumri Telaiya,3,1,0,4
Kaladhungi,3,1,0,4
Kanakapura,1,3,0,4
Kumasi,3,1,0,4
Kumbakonam,4,0,0,4
Madrid,2,2,0,4
Manama,3,1,0,4
Manila,3,1,0,4
Manjeri,1,3,0,4
Memari,3,1,0,4
Naaldwijk,1,3,0,4
Nagaon,4,0,0,4
Nalagarh,4,0,0,4
Nanekarwadi,1,3,0,4
Nilambur,3,1,0,4
Paris,2,2,0,4
Pathanamthitta,3,1,0,4
Payyanur,3,1,0,4
Rawalpindi,1,3,0,4
Roorkee,2,2,0,4
Shegaon,4,0,0,4
Shibuya,0,4,0,4
Silchar,1,3,0,4
Sultanpur,3,1,0,4
Sundargarh,3,1,0,4
Suratgarh,2,2,0,4
Surrey,1,2,1,4
Tamarasserry,2,2,0,4
Tamluk,3,1,0,4
Thanjavur,4,0,0,4
Tilda,2,2,0,4
Tokha,3,1,0,4
Tufanganj,3,1,0,4
Abuja,1,2,0,3
Adilabad,3,0,0,3
Ajman,1,2,0,3
Al Ahmadi,1,2,0,3
Al Jubail,0,3,0,3
Anand,0,3,0,3
Anjuna,1,2,0,3
Araria,3,0,0,3
Auckland,1,2,0,3
Aurangabad,1,2,0,3
Balotra,3,0,0,3
Banda,2,1,0,3
Bandar Seri Begawan,0,3,0,3
Bansi,3,0,0,3
Banswara,2,1,0,3
Bardoli,1,2,0,3
Barh,2,1,0,3
Barpeta Circle,3,0,0,3
Barshi,3,0,0,3
Basirhat,3,0,0,3
Bermo,2,1,0,3
Bhavnagar,2,1,0,3
Bhawanipatna,2,1,0,3
Bholath,1,2,0,3
Bhora Kalan,3,0,0,3
Biratnagar,3,0,0,3
Bucharest,0,3,0,3
Budhanilkantha,2,1,0,3
Bundi,3,0,0,3
Byasanagar,1,1,1,3
Cebu City,1,2,0,3
Chalakudy,3,0,0,3
Changanassery,1,2,0,3
Chinsurah,2,0,1,3
Chuo City,2,1,0,3
Dankuni,1,2,0,3
Davao City,2,1,0,3
Des Moines,0,3,0,3
Dharampur,1,2,0,3
Dharuhera,3,0,0,3
Dhule,2,1,0,3
Dindigul,2,0,1,3
Diu,3,0,0,3
Dumka,3,0,0,3
